Census,Town,GINI
25001014100,FORESTDALE,0.2958
25017350103,SOMERVILLE,0.3569
25027710600,FITCHBURG,0.3579
25009208102,SAUGUS,0.3619
25021420202,RANDOLPH,0.3633
25005630102,ATTLEBORO FALLS,0.3644
25005641101,FALL RIVER,0.3735
25005630101,NORTH ATTLEBORO,0.3834
25027757100,SOUTHBRIDGE,0.3842
25027757300,SOUTHBRIDGE,0.3878
25013810403,LUDLOW,0.3889
25013812702,WESTFIELD,0.3914
25003922300,ADAMS,0.3921
25017339700,MEDFORD,0.3936
25001014500,EAST FALMOUTH,0.3949
25017321200,MARLBOROUGH,0.3976
25003921400,NORTH ADAMS,0.3983
25027716200,LANCASTER,0.3991
25011040502,ORANGE,0.3992
25003900200,PITTSFIELD,0.3993
25013810800,CHICOPEE,0.4012
25011040400,ERVING,0.4016
25011041400,GREENFIELD,0.4017
25023502200,ROCKLAND,0.4024
25009250300,LAWRENCE,0.4049
25027703100,ORANGE,0.4077
25009251600,LAWRENCE,0.4079
25009221400,GLOUCESTER,0.4087
25003922100,ADAMS,0.4091
25005651900,NEW BEDFORD,0.4097
25027730500,WORCESTER,0.4104
25005613800,TAUNTON,0.4108
25025160200,CHELSEA,0.4108
25005644200,SOMERSET,0.411
25013800900,SPRINGFIELD,0.411
25015820102,WARE,0.4127
25023511000,BROCKTON,0.413
25017311600,LOWELL,0.416
25001011600,WEST HARWICH,0.4175
25017383102,FRAMINGHAM,0.4182
25027703200,ROYALSTON,0.4198
25017342400,CHELSEA,0.4207
25009217400,BEVERLY,0.4212
25015821100,SOUTH HADLEY,0.4219
25025981100,MATTAPAN,0.4227
25027707300,GARDNER,0.4248
25027732801,MILLBURY,0.4256
25027709400,LEOMINSTER,0.426
25027716300,CLINTON,0.4278
25013812300,WEST SPRINGFIELD,0.4279
25009250800,LAWRENCE,0.4286
25023510503,BROCKTON,0.4286
25025160400,CHELSEA,0.4291
25009210800,PEABODY,0.4302
25017321300,MARLBOROUGH,0.432
25003900100,PITTSFIELD,0.4326
25025170702,REVERE,0.4343
25027726200,SPENCER,0.435
25011040100,NORTH ADAMS,0.4354
25013810300,PALMER,0.4355
25011041300,GREENFIELD,0.4379
25009221500,GLOUCESTER,0.4381
25023545400,WAREHAM,0.4382
25005641200,FALL RIVER,0.4391
25005651200,NEW BEDFORD,0.4401
25017351500,SOMERVILLE,0.4416
25013800600,SPRINGFIELD,0.4425
25009210700,SALEM,0.4438
25009252400,LAWRENCE,0.4438
25011040501,ORANGE,0.4447
25017311700,LOWELL,0.4456
25013801700,SPRINGFIELD,0.4463
25021417701,QUINCY,0.4498
25009252300,METHUEN,0.45
25005642000,FALL RIVER,0.4502
25025180500,WINTHROP,0.4508
25023510700,BROCKTON,0.4523
25027709600,LEOMINSTER,0.4526
25001012002,WEST YARMOUTH,0.4529
25027710700,FITCHBURG,0.4532
25027754200,WEBSTER,0.4534
25001015300,BARNSTABLE,0.454
25015822402,EASTHAMPTON,0.4543
25003935300,NORTH ADAMS,0.4552
25025060700,BOSTON,0.4561
25027732500,WORCESTER,0.4574
25013801800,SPRINGFIELD,0.4579
25021420301,RANDOLPH,0.4597
25009204701,SALEM,0.466
25021422502,EAST WEYMOUTH,0.4673
25027707200,GARDNER,0.4687
25015821602,FLORENCE,0.4703
25013813207,FEEDING HILLS,0.4706
25017311900,LOWELL,0.4718
25021417901,QUINCY,0.4748
25011040701,TURNERS FALLS,0.4755
25023510900,BROCKTON,0.4772
25013811400,HOLYOKE,0.4775
25017311800,LOWELL,0.4824
25009207000,LYNN,0.4835
25005655300,FAIRHAVEN,0.4895
25009204200,SALEM,0.491
25005651300,NEW BEDFORD,0.4913
25009260200,HAVERHILL,0.492
25017341200,MEDFORD,0.4921
25025040300,SOMERVILLE,0.4921
25027731400,WORCESTER,0.4955
25009260800,HAVERHILL,0.498
25009206100,LYNN,0.4991
25015820300,AMHERST,0.5042
25017354900,CAMBRIDGE,0.5089
25017310100,LOWELL,0.5097
25025081200,JAMAICA PLAIN,0.5137
25009207200,LYNN,0.515
25025170501,REVERE,0.5162
25015821903,NORTHAMPTON,0.5176
25013811700,HOLYOKE,0.5186
25027731700,WORCESTER,0.5187
25001010100,PROVINCETOWN,0.5224
25005651800,NEW BEDFORD,0.5283
25017383101,FRAMINGHAM,0.5353
25025080500,ROXBURY CROSSING,0.5383
25013801101,SPRINGFIELD,0.5397
25013801200,SPRINGFIELD,0.5415
25017341300,MELROSE,0.5508
25025080601,ROXBURY CROSSING,0.551
25027731300,WORCESTER,0.5545
25023561200,BRIDGEWATER,0.5575
25025061000,BOSTON,0.5641
25009206800,LYNN,0.58
25025090901,DORCHESTER,0.5845
25025061101,BOSTON,0.5882
25025040200,CHARLESTOWN,0.5957
25009250100,LAWRENCE,0.6034
25025040801,CHARLESTOWN,0.6382
25013801902,SPRINGFIELD,0.6522
