seq_id,ct10_id,geoid,logrecno,acs_year,gini,gini_me
8869,25001010100,14000US25001010100,910,2012-16,0.5224,0.04
8870,25001010206,14000US25001010206,911,2012-16,0.4782,0.09
8871,25001010208,14000US25001010208,912,2012-16,0.3865,0.06
8872,25001010304,14000US25001010304,913,2012-16,0.4316,0.08
8873,25001010306,14000US25001010306,914,2012-16,0.4241,0.08
8874,25001010400,14000US25001010400,915,2012-16,0.4406,0.04
8875,25001010500,14000US25001010500,916,2012-16,0.5079,0.06
8876,25001010600,14000US25001010600,917,2012-16,0.4894,0.06
8877,25001010700,14000US25001010700,918,2012-16,0.6119,0.1
8878,25001010800,14000US25001010800,919,2012-16,0.448,0.03
8879,25001010900,14000US25001010900,920,2012-16,0.4765,0.08
8880,25001011002,14000US25001011002,921,2012-16,0.4681,0.05
8881,25001011100,14000US25001011100,922,2012-16,0.4499,0.09
8882,25001011200,14000US25001011200,923,2012-16,0.4729,0.09
8883,25001011300,14000US25001011300,924,2012-16,0.4583,0.04
8884,25001011400,14000US25001011400,925,2012-16,0.4854,0.1
8885,25001011500,14000US25001011500,926,2012-16,0.43,0.04
8886,25001011600,14000US25001011600,927,2012-16,0.4175,0.04
8887,25001011700,14000US25001011700,928,2012-16,0.5036,0.05
8888,25001011801,14000US25001011801,929,2012-16,0.4417,0.04
8889,25001011802,14000US25001011802,930,2012-16,0.4362,0.08
8890,25001012001,14000US25001012001,931,2012-16,0.3817,0.04
8891,25001012002,14000US25001012002,932,2012-16,0.4529,0.05
8892,25001012101,14000US25001012101,933,2012-16,0.361,0.04
8893,25001012102,14000US25001012102,934,2012-16,0.4122,0.04
8894,25001012200,14000US25001012200,935,2012-16,0.4803,0.06
8895,25001012502,14000US25001012502,936,2012-16,0.4559,0.06
8896,25001012601,14000US25001012601,937,2012-16,0.4059,0.05
8897,25001012602,14000US25001012602,938,2012-16,0.4241,0.05
8898,25001012700,14000US25001012700,939,2012-16,0.4117,0.05
8899,25001012800,14000US25001012800,940,2012-16,0.4294,0.05
8900,25001012900,14000US25001012900,941,2012-16,0.3417,0.03
8901,25001013002,14000US25001013002,942,2012-16,0.5989,0.06
8902,25001013100,14000US25001013100,943,2012-16,0.3789,0.05
8903,25001013200,14000US25001013200,944,2012-16,0.4948,0.07
8904,25001013300,14000US25001013300,945,2012-16,0.4623,0.04
8905,25001013400,14000US25001013400,946,2012-16,0.4425,0.06
8906,25001013500,14000US25001013500,947,2012-16,0.3332,0.03
8907,25001013600,14000US25001013600,948,2012-16,0.3799,0.05
8908,25001013700,14000US25001013700,949,2012-16,0.4626,0.09
8909,25001013800,14000US25001013800,950,2012-16,0.4042,0.04
8910,25001013900,14000US25001013900,951,2012-16,0.4146,0.05
8911,25001014002,14000US25001014002,952,2012-16,0.429,0.06
8912,25001014100,14000US25001014100,953,2012-16,0.2958,0.05
8913,25001014300,14000US25001014300,954,2012-16,0.458,0.06
8914,25001014402,14000US25001014402,955,2012-16,0.4142,0.05
8915,25001014500,14000US25001014500,956,2012-16,0.3949,0.04
8916,25001014600,14000US25001014600,957,2012-16,0.4053,0.04
8917,25001014700,14000US25001014700,958,2012-16,0.4316,0.05
8918,25001014800,14000US25001014800,959,2012-16,0.5773,0.07
8919,25001014900,14000US25001014900,960,2012-16,0.5634,0.09
8920,25001015001,14000US25001015001,961,2012-16,0.4097,0.04
8921,25001015002,14000US25001015002,962,2012-16,0.3663,0.03
8922,25001015100,14000US25001015100,963,2012-16,0.4383,0.05
8923,25001015200,14000US25001015200,964,2012-16,0.4774,0.05
8924,25001015300,14000US25001015300,965,2012-16,0.454,0.05
8925,25001990000,14000US25001990000,966,2012-16,0,0
8926,25003900100,14000US25003900100,967,2012-16,0.4326,0.05
8927,25003900200,14000US25003900200,968,2012-16,0.3993,0.03
8928,25003900300,14000US25003900300,969,2012-16,0.4444,0.08
8929,25003900400,14000US25003900400,970,2012-16,0.4247,0.04
8930,25003900500,14000US25003900500,971,2012-16,0.4757,0.06
8931,25003900600,14000US25003900600,972,2012-16,0.4694,0.04
8932,25003900700,14000US25003900700,973,2012-16,0.4202,0.03
8933,25003900800,14000US25003900800,974,2012-16,0.3757,0.04
8934,25003900900,14000US25003900900,975,2012-16,0.3982,0.05
8935,25003901100,14000US25003901100,976,2012-16,0.4144,0.04
8936,25003911100,14000US25003911100,977,2012-16,0.3671,0.05
8937,25003912100,14000US25003912100,978,2012-16,0.4428,0.05
8938,25003913100,14000US25003913100,979,2012-16,0.5219,0.05
8939,25003914100,14000US25003914100,980,2012-16,0.4451,0.05
8940,25003920101,14000US25003920101,981,2012-16,0.4297,0.03
8941,25003920102,14000US25003920102,982,2012-16,0.4779,0.05
8942,25003921300,14000US25003921300,983,2012-16,0.5441,0.06
8943,25003921400,14000US25003921400,984,2012-16,0.3983,0.05
8944,25003921500,14000US25003921500,985,2012-16,0.4125,0.04
8945,25003922100,14000US25003922100,986,2012-16,0.4091,0.05
8946,25003922200,14000US25003922200,987,2012-16,0.3516,0.03
8947,25003922300,14000US25003922300,988,2012-16,0.3921,0.03
8948,25003923100,14000US25003923100,989,2012-16,0.4106,0.06
8949,25003924100,14000US25003924100,990,2012-16,0.5652,0.05
8950,25003925100,14000US25003925100,991,2012-16,0.4446,0.04
8951,25003926100,14000US25003926100,992,2012-16,0.4268,0.04
8952,25003931100,14000US25003931100,993,2012-16,0.4046,0.06
8953,25003931300,14000US25003931300,994,2012-16,0.3983,0.03
8954,25003931400,14000US25003931400,995,2012-16,0.3845,0.03
8955,25003932200,14000US25003932200,996,2012-16,0.3915,0.03
8956,25003932300,14000US25003932300,997,2012-16,0.3932,0.04
8957,25003933200,14000US25003933200,998,2012-16,0.4934,0.05
8958,25003933300,14000US25003933300,999,2012-16,0.4636,0.05
8959,25003933400,14000US25003933400,1000,2012-16,0.4082,0.03
8960,25003934200,14000US25003934200,1001,2012-16,0.4497,0.05
8961,25003934300,14000US25003934300,1002,2012-16,0.4779,0.04
8962,25003935100,14000US25003935100,1003,2012-16,0.5014,0.05
8963,25003935200,14000US25003935200,1004,2012-16,0.413,0.03
8964,25003935300,14000US25003935300,1005,2012-16,0.4552,0.04
8965,25005600100,14000US25005600100,1006,2012-16,0.4036,0.03
8966,25005600202,14000US25005600202,1007,2012-16,0.3753,0.03
8967,25005600203,14000US25005600203,1008,2012-16,0.3648,0.03
8968,25005600204,14000US25005600204,1009,2012-16,0.4329,0.07
8969,25005610100,14000US25005610100,1010,2012-16,0.3249,0.04
8970,25005610202,14000US25005610202,1011,2012-16,0.3551,0.03
8971,25005610203,14000US25005610203,1012,2012-16,0.3835,0.05
8972,25005610204,14000US25005610204,1013,2012-16,0.4546,0.08
8973,25005611101,14000US25005611101,1014,2012-16,0.3716,0.03
8974,25005611102,14000US25005611102,1015,2012-16,0.4384,0.04
8975,25005611201,14000US25005611201,1016,2012-16,0.3379,0.04
8976,25005611202,14000US25005611202,1017,2012-16,0.3425,0.03
8977,25005612100,14000US25005612100,1018,2012-16,0.3855,0.04
8978,25005612200,14000US25005612200,1019,2012-16,0.387,0.03
8979,25005613100,14000US25005613100,1020,2012-16,0.3747,0.04
8980,25005613300,14000US25005613300,1021,2012-16,0.386,0.03
8981,25005613400,14000US25005613400,1022,2012-16,0.3818,0.03
8982,25005613600,14000US25005613600,1023,2012-16,0.4085,0.04
8983,25005613700,14000US25005613700,1024,2012-16,0.4226,0.05
8984,25005613800,14000US25005613800,1025,2012-16,0.4108,0.04
8985,25005613901,14000US25005613901,1026,2012-16,0.4531,0.05
8986,25005613902,14000US25005613902,1027,2012-16,0.3924,0.04
8987,25005614000,14000US25005614000,1028,2012-16,0.4614,0.04
8988,25005614101,14000US25005614101,1029,2012-16,0.4126,0.04
8989,25005614102,14000US25005614102,1030,2012-16,0.3761,0.07
8990,25005615100,14000US25005615100,1031,2012-16,0.361,0.03
8991,25005616100,14000US25005616100,1032,2012-16,0.3751,0.04
8992,25005617101,14000US25005617101,1033,2012-16,0.3522,0.03
8993,25005617102,14000US25005617102,1034,2012-16,0.3709,0.05
8994,25005630101,14000US25005630101,1035,2012-16,0.3834,0.04
8995,25005630102,14000US25005630102,1036,2012-16,0.3644,0.03
8996,25005630200,14000US25005630200,1037,2012-16,0.3531,0.03
8997,25005630300,14000US25005630300,1038,2012-16,0.4303,0.05
8998,25005630400,14000US25005630400,1039,2012-16,0.461,0.07
8999,25005631100,14000US25005631100,1040,2012-16,0.4097,0.03
9000,25005631200,14000US25005631200,1041,2012-16,0.3948,0.05
