city,id,medincomechange
FRAMINGHAM,87,-34
FALL RIVER,18,-32
FAIRHAVEN,24,-29
SPRINGFIELD,55,-29
BROCKTON,95,-28
ROXBURY CROSSING,108,-27
GREENFIELD,50,-25
CHARLESTOWN,101,-23
BRIDGEWATER,100,-21
BROCKTON,96,-18
ORANGE,47,-18
EAST WEYMOUTH,93,-18
GLOUCESTER,35,-18
SOUTH HADLEY,69,-16
LOWELL,73,-16
ATTLEBORO FALLS,15,-16
NEW BEDFORD,21,-14
GREENFIELD,51,-14
HOLYOKE,62,-14
NEW BEDFORD,22,-14
WEST SPRINGFIELD,64,-13
SOMERVILLE,102,-13
MELROSE,82,-13
NEW BEDFORD,23,-12
LOWELL,76,-11
MEDFORD,80,-11
SPRINGFIELD,56,-11
NORTH ADAMS,12,-11
SOUTHBRIDGE,138,-10
SPRINGFIELD,58,-10
NORTHAMPTON,71,-9
QUINCY,89,-9
PROVINCETOWN,1,-8
SPRINGFIELD,52,-8
ORANGE,48,-8
WORCESTER,133,-8
SAUGUS,31,-8
LUDLOW,60,-7
LEOMINSTER,123,-6
GLOUCESTER,36,-6
NORTH ADAMS,9,-6
MILLBURY,135,-6
ROCKLAND,94,-5
LOWELL,75,-5
SPRINGFIELD,54,-5
GARDNER,122,-5
SALEM,32,-4
BOSTON,105,-4
ROYALSTON,120,-4
PEABODY,33,-4
BOSTON,106,-4
SOMERSET,19,-3
FEEDING HILLS,66,-3
LOWELL,74,-3
SALEM,25,-2
CLINTON,128,-2
NORTH ADAMS,45,-2
WEBSTER,136,-2
WORCESTER,130,-2
SOUTHBRIDGE,137,-2
LAWRENCE,38,-1
FLORENCE,70,-1
RANDOLPH,92,-1
WINTHROP,115,0
LEOMINSTER,124,0
LYNN,29,1
WORCESTER,131,1
NORTH ATTLEBORO,14,1
ERVING,46,2
RANDOLPH,91,2
BOSTON,104,2
LANCASTER,127,3
QUINCY,90,3
BROCKTON,98,3
CHICOPEE,61,4
CHELSEA,83,4
LYNN,27,4
REVERE,114,5
LOWELL,77,5
AMHERST,68,5
WEST HARWICH,2,5
TAUNTON,13,5
GARDNER,121,5
TURNERS FALLS,49,5
HAVERHILL,44,5
SPENCER,129,5
FORESTDALE,4,6
METHUEN,41,6
BEVERLY,34,8
WEST YARMOUTH,3,9
PITTSFIELD,8,11
LAWRENCE,42,11
CAMBRIDGE,86,11
MARLBOROUGH,78,12
WORCESTER,134,13
EASTHAMPTON,72,13
BARNSTABLE,6,13
MARLBOROUGH,79,13
ADAMS,11,14
EAST FALMOUTH,5,15
SPRINGFIELD,57,15
MEDFORD,81,16
HAVERHILL,43,16
WORCESTER,132,16
FALL RIVER,16,16
ROXBURY CROSSING,107,17
REVERE,113,18
BROCKTON,97,18
ORANGE,119,18
CHELSEA,111,18
WAREHAM,99,18
PITTSFIELD,7,19
DORCHESTER,110,19
LYNN,28,19
FITCHBURG,125,19
FRAMINGHAM,88,23
LAWRENCE,37,23
SOMERVILLE,85,24
PALMER,59,24
CHELSEA,112,28
ADAMS,10,28
LAWRENCE,39,29
NEW BEDFORD,20,31
FALL RIVER,17,33
HOLYOKE,63,34
WARE,67,34
LYNN,30,34
FITCHBURG,126,35
LAWRENCE,40,36
JAMAICA PLAIN,109,37
SALEM,26,40
SPRINGFIELD,53,41
WESTFIELD,65,42
CHARLESTOWN,103,59
SOMERVILLE,84,61
