seq_id,ct10_id,geoid,logrecno,acs_year,pop16,pop16_me,lf,lf_me,clf,clf_me,emp,emp_me,unemp,unemp_me,aflf,aflf_me,nlf,nlf_me,lf_p,lf_mep,clf_p,clf_mep,emp_p,emp_mep,unemp_p,unemp_mep,aflf_p,aflf_mep,nlf_p,nlf_mep
7391,25005990000,14000US25005990000,1131,2012-16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,
7392,25025981201,14000US25025981201,2207,2012-16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,
7393,25001010100,14000US25001010100,910,2012-16,2782,97,1759,144,1759,144,1602,162,157,67,0,12,1023,165,63.23,4.68,100,8.19,91.07,5.41,8.93,3.74,0,0.68,36.77,5.79
7394,25001010206,14000US25001010206,911,2012-16,2856,230,1724,232,1724,232,1524,230,200,79,0,12,1132,202,60.36,6.51,100,13.46,88.4,6.04,11.6,4.31,0,0.7,39.64,6.31
7395,25001010208,14000US25001010208,912,2012-16,1439,224,872,182,872,182,832,180,40,33,0,12,567,137,60.6,8.43,100,20.87,95.41,5.43,4.59,3.66,0,1.38,39.4,7.28
7396,25001010304,14000US25001010304,913,2012-16,1945,228,959,181,959,181,891,174,68,40,0,12,986,151,49.31,7.29,100,18.87,92.91,4.66,7.09,3.95,0,1.25,50.69,5
7397,25001010306,14000US25001010306,914,2012-16,2526,206,1402,222,1392,221,1261,193,131,74,10,18,1124,187,55.5,7.53,99.29,1.14,90.59,19.98,9.41,5.1,0.71,1.28,44.5,6.45
7398,25001010400,14000US25001010400,915,2012-16,2820,202,1606,215,1606,215,1538,222,68,53,0,12,1214,209,56.95,6.44,100,13.39,95.77,5.17,4.23,3.25,0,0.75,43.05,6.74
7399,25001010500,14000US25001010500,916,2012-16,2429,220,1066,166,1066,166,1043,168,23,22,0,12,1363,206,43.89,5.56,100,15.57,97.84,4.03,2.16,2.04,0,1.13,56.11,6.79
7400,25001010600,14000US25001010600,917,2012-16,2876,262,1414,198,1414,198,1309,196,105,59,0,12,1462,185,49.17,5.23,100,14,92.57,4.91,7.43,4.04,0,0.85,50.83,4.46
7401,25001010700,14000US25001010700,918,2012-16,2494,248,1386,214,1376,210,1299,203,77,45,10,12,1108,185,55.57,6.56,99.28,21.55,94.4,3.17,5.6,3.16,0.72,0.86,44.43,5.96
7402,25001010800,14000US25001010800,919,2012-16,4234,414,2477,303,2477,303,2301,283,176,152,0,12,1757,351,58.5,4.3,100,12.23,92.89,1.19,7.11,6.07,0,0.48,41.5,7.23
7403,25001010900,14000US25001010900,920,2012-16,4203,347,2338,270,2338,270,2280,274,58,49,0,17,1865,275,55.63,4.49,100,11.55,97.52,3.24,2.48,2.08,0,0.73,44.37,5.42
7404,25001011002,14000US25001011002,921,2012-16,3541,281,2114,219,2114,219,1981,215,133,71,0,12,1427,181,59.7,3.98,100,10.36,93.71,3.03,6.29,3.29,0,0.57,40.3,3.99
